locale,town,longitude,latitude,title,price,square_metres,price_square_metres
chibombo,chibombo,28.088858,-14.655428,yes,"550,000",46538.85,11.81808317
silverest,chongwe,28.6813373,-15.3274755,yes,1600000,3054,523.9030779
new kasama,lusaka,28.322817,-15.387526 ,yes,650000,3348,194.1457587
lusaka west,lusaka,28.322817,-15.387526 ,yes,80000,3500,22.85714286
lusaka west,lusaka,28.322817,-15.387526 ,yes,240000,1600,150
makeni konga,lusaka,28.322817,-15.387526 ,yes,2500000,10117.1,247.1063842
new kasama,lusaka,28.322817,-15.387526 ,yes,560000,4900,114.2857143
kalundu ,lusaka,28.322817,-15.387526 ,yes,35000,400,87.5
makeni  ,lusaka,28.322817,-15.387526 ,yes,250000,868,288.0184332
roma,lusaka,28.322817,-15.387526 ,yes,3000000,3880,773.1958763
chilenje,lusaka,28.322817,-15.387526 ,yes,"250,000",375,666.6666667
chelstone obama,lusaka,28.322817,-15.387526 ,yes,350000,800,437.5
great north,lusaka,28.322817,-15.387526 ,yes,300000,600,500
lilayi,lusaka,28.322817,-15.387526 ,yes,360000,1600,225
lilayi,lusaka,28.322817,-15.387526 ,yes,550000,1650,333.3333333
barlastone,lusaka,28.322817,-15.387526 ,yes,20000,300,66.66666667
barlastone,lusaka,28.322817,-15.387526 ,yes,30000,400,75
lusaka west,lusaka,28.322817,-15.387526 ,no,4000,400,10
lusaka west,lusaka,28.322817,-15.387526 ,no,8000,800,10
ibex hill,lusaka,28.322817,-15.387526 ,yes,550000,1200,458.3333333
ibex hill,lusaka,28.322817,-15.387526 ,yes,550000,660,833.3333333
ibex hill,lusaka,28.322817,-15.387526 ,yes,600000,1280,468.75
ibex hill,lusaka,28.322817,-15.387526 ,yes,600000,1200,500
ibex hill,lusaka,28.322817,-15.387526 ,yes,585000,1258,465.0238474
ibex hill,lusaka,28.322817,-15.387526 ,yes,550000,1200,458.3333333
ibex hill,lusaka,28.322817,-15.387526 ,yes,9000000,80937.1,111.1974607
leopards hill,lusaka,28.322817,-15.387526 ,yes,200000,20234.3,9.884206521
ibex hill,lusaka,28.322817,-15.387526 ,yes,480000,1200,400
ibex hill,lusaka,28.322817,-15.387526 ,yes,600000,1200,500
mean wood ibex,lusaka,28.322817,-15.387526 ,yes,1400000,2000,700
ibex hill,lusaka,28.322817,-15.387526 ,yes,650000,1050,619.047619
ibex hill,lusaka,28.322817,-15.387526 ,yes,1100000,1935,568.4754522
ibex hill,lusaka,28.322817,-15.387526 ,yes,600000,792,757.5757576
ibex hill,lusaka,28.322817,-15.387526 ,yes,700000,900,777.7777778
ibex hill,lusaka,28.322817,-15.387526 ,yes,480000,572,839.1608392
ibex hill,lusaka,28.322817,-15.387526 ,yes,5000000,8093.71,617.7636708
chilanga,lusaka,28.322817,-15.387526 ,yes,55000,2400,22.91666667
lukanga,kabwe,28.4465166,-14.4434056,yes,25000,600,41.66666667
ngungu,kabwe,28.4465166,-14.4434056,yes,30000,750,40
chindiwini,kabwe,28.4465166,-14.4434056,yes,250000,20000,12.5
zns,kabwe,28.4465166,-14.4434056,yes,35000,10000,3.5
mukuyu,kabwe,28.4465166,-14.4434056,yes,65000,900,72.22222222
kapiri road,kabwe,28.4465166,-14.4434056,yes,1100000,80000,13.75
mukuyu,kabwe,28.4465166,-14.4434056,yes,130000,1800,72.22222222
chowa,kabwe,28.4465166,-14.4434056,yes,35000,875,40
lukanga,kabwe,28.4465166,-14.4434056,yes,60000,1400,42.85714286
mulungushi,kabwe,28.4465166,-14.4434056,yes,65000,1200,54.16666667
green inn,kabwe,28.4465166,-14.4434056,no,65000,2000,32.5
overspill,kabwe,28.4465166,-14.4434056,no,30000,600,50
chindiwini,kabwe,28.4465166,-14.4434056,yes,60000,1200,50
mukuyu,kabwe,28.4465166,-14.4434056,yes,50000,1200,41.66666667
mulungushi,kabwe,28.4465166,-14.4434056,yes,65000,900,72.22222222
ngungu,kabwe,28.4465166,-14.4434056,yes,30000,750,40
mulungushi,kabwe,28.4465166,-14.4434056,yes,30000,1200,25
kitwe west,kitwe,28.2176,-12.8232,yes,55000,600,91.66666667
lusaka west,lusaka,28.322817,-15.387526 ,yes,7350000,99147.98,74.1316162
